Id,Group,class,invCnt,greens,reds,controv,other_ms_ada,own_ms_ada,winning,comparaison_ada,sim_ada,n_tokens,own_ms_use,other_ms_use,sim_use
37,A,Neutral,7,2,6,0.984375,114,46,0,Other,0.811221782,42,46,215,0.395047724
37,A,Neutral,7,2,6,0.984375,114,46,0,Own,0.840045322,42,46,215,0.429964483
42,A,Low Priority,15,3,17,0.022830963,21,46,0,Other,0.813582932,29,46,110,0.274099052
42,A,Low Priority,15,3,17,0.022830963,21,46,0,Own,0.818231615,29,46,110,0.371002913
44,A,Controversial,15,8,8,3.338470459,208,39,0,Other,0.906870993,35,39,208,0.627716899
44,A,Controversial,15,8,8,3.338470459,208,39,0,Own,0.871746355,35,39,208,0.464069694
46,A,Neutral,10,7,4,1.93359375,7,37,0,Other,0.839334943,43,37,7,0.43721053
46,A,Neutral,10,7,4,1.93359375,7,37,0,Own,0.840045322,43,37,7,0.429964483
48,A,Neutral,12,8,4,1.571044922,178,165,1,Other,0.846281153,57,54,178,0.454928696
48,A,Neutral,12,8,4,1.571044922,178,165,1,Own,0.820286997,57,54,178,0.277224302
50,A,Low Priority,31,6,34,0.000143,10,200,0,Other,0.858515961,39,52,10,0.460186243
50,A,Low Priority,31,6,34,0.000143,10,200,0,Own,0.842882651,39,52,10,0.381988943
53,A,Neutral,16,11,5,1.133056641,128,163,0,Other,0.865374988,47,39,102,0.462183237
53,A,Neutral,16,11,5,1.133056641,128,163,0,Own,0.846348276,47,39,102,0.379153967
56,A,Controversial,10,7,5,2.513671875,114,49,0,Other,0.866704204,50,49,114,0.395327896
56,A,Controversial,10,7,5,2.513671875,114,49,0,Own,0.847137032,50,49,114,0.417834163
58,A,Low Priority,13,3,13,0.145263672,79,52,1,Other,0.835416725,58,133,76,0.453435004
58,A,Low Priority,13,3,13,0.145263672,79,52,1,Own,0.836712334,58,133,76,0.462305367
59,A,Low Priority,22,4,22,0.006014854,98,150,0,Other,0.843196373,58,150,215,0.389042199
59,A,Low Priority,22,4,22,0.006014854,98,150,0,Own,0.850936593,58,150,215,0.402752012
67,A,Low Priority,7,1,7,0.281249156,22,116,1,Other,0.82526874,76,150,193,0.468904555
67,A,Low Priority,7,1,7,0.281249156,22,116,1,Own,0.843715666,76,150,193,0.570994854
75,A,High Priority,15,15,5,0.310501099,77,74,0,Other,0.885141498,77,74,141,0.555736303
75,A,High Priority,15,15,5,0.310501099,77,74,0,Own,0.877288866,77,74,141,0.551045179
96,A,High Priority,19,21,2,0.000724,9,154,0,Other,0.862614277,42,153,9,0.455426246
96,A,High Priority,19,21,2,0.000724,9,154,0,Own,0.848311203,42,153,9,0.468701363
97,A,Low Priority,12,2,11,0.133300781,98,39,0,Other,0.830681081,147,64,21,0.415928423
97,A,Low Priority,12,2,11,0.133300781,98,39,0,Own,0.851658112,147,64,21,0.448132038
111,A,High Priority,20,23,1,3.58E-05,22,43,1,Other,0.878351882,61,72,22,0.559179544
111,A,High Priority,20,23,1,3.58E-05,22,43,1,Own,0.870486927,61,72,22,0.505406141
115,A,Low Priority,31,5,31,0.000203,128,53,0,Other,0.829289104,71,155,21,0.447197258
115,A,Low Priority,31,5,31,0.000203,128,53,0,Own,0.838125189,71,155,21,0.43019712
116,A,High Priority,22,24,1,1.94E-05,22,154,1,Other,0.854330312,35,32,141,0.542984009
116,A,High Priority,22,24,1,1.94E-05,22,154,1,Own,0.86930561,35,32,141,0.53532362
120,A,Neutral,21,8,17,0.838069618,21,72,1,Other,0.868967935,33,116,215,0.414095402
120,A,Neutral,21,8,17,0.838069618,21,72,1,Own,0.832044905,33,116,215,0.34189266
121,A,Low Priority,25,4,25,0.001327191,197,53,0,Other,0.840145186,35,111,197,0.460764766
121,A,Low Priority,25,4,25,0.001327191,197,53,0,Own,0.815168046,35,111,197,0.329311579
133,A,Low Priority,34,10,33,0.009590932,114,174,0,Other,0.826658348,78,174,7,0.4293724
133,A,Low Priority,34,10,33,0.009590932,114,174,0,Own,0.847286539,78,174,7,0.511602521
135,A,Neutral,16,12,6,1.345504761,109,165,0,Other,0.860946447,40,64,109,0.476007283
135,A,Neutral,16,12,6,1.345504761,109,165,0,Own,0.833758651,40,64,109,0.440719545
138,A,High Priority,17,17,5,0.144405842,17,54,1,Other,0.862517023,25,33,17,0.29000774
138,A,High Priority,17,17,5,0.144405842,17,54,1,Own,0.851953173,25,33,17,0.272100657
139,A,Neutral,14,5,13,0.621002197,23,72,0,Other,0.839565067,16,72,160,0.394137681
139,A,Neutral,14,5,13,0.621002197,23,72,0,Own,0.843791731,16,72,160,0.24771136
148,A,Low Priority,7,0,7,0.062500146,107,33,0,Other,0.793118313,72,149,22,0.351878047
148,A,Low Priority,7,0,7,0.062500146,107,33,0,Own,0.828638589,72,149,22,0.360931456
149,A,Neutral,8,3,5,1.96875,77,116,0,Other,0.851667825,85,67,109,0.40450725
149,A,Neutral,8,3,5,1.96875,77,116,0,Own,0.865654836,85,67,109,0.446624041
150,A,Controversial,11,5,6,2.70703125,23,72,0,Other,0.859559981,107,67,193,0.518266022
150,A,Controversial,11,5,6,2.70703125,23,72,0,Own,0.862452105,107,67,193,0.570994854
151,A,High Priority,12,11,1,0.03808569,18,111,0,Other,0.835615523,32,111,18,0.322087348
151,A,High Priority,12,11,1,0.03808569,18,111,0,Own,0.839709139,32,111,18,0.353701562
154,A,Low Priority,15,3,17,0.022830963,77,116,0,Other,0.857508466,35,116,7,0.48697412
154,A,Low Priority,15,3,17,0.022830963,77,116,0,Own,0.86930561,35,116,7,0.514576435
155,A,High Priority,22,26,1,5.63E-06,28,32,1,Other,0.87546352,92,72,28,0.572197437
155,A,High Priority,22,26,1,5.63E-06,28,32,1,Own,0.854400096,92,72,28,0.515174031
159,A,High Priority,17,19,1,0.000401,28,111,0,Other,0.846679056,17,32,28,0.317233503
159,A,High Priority,17,19,1,0.000401,28,111,0,Own,0.839914991,17,32,28,0.302398443
163,A,Controversial,18,9,12,3.08344841,21,53,0,Other,0.840914529,37,46,23,0.386729419
163,A,Controversial,18,9,12,3.08344841,21,53,0,Own,0.846348276,37,46,23,0.367280066
164,A,Neutral,8,3,7,1.2890625,182,64,0,Other,0.854640987,68,64,182,0.590462148
164,A,Neutral,8,3,7,1.2890625,182,64,0,Own,0.842423104,68,64,182,0.404547602
166,A,Neutral,19,14,8,1.753499508,23,32,0,Other,0.831632951,36,194,208,0.357353806
166,A,Neutral,19,14,8,1.753499508,23,32,0,Own,0.828071414,36,194,208,0.416108429
174,A,Controversial,20,12,13,4.029506445,114,49,0,Other,0.851266298,29,133,126,0.407687634
174,A,Controversial,20,12,13,4.029506445,114,49,0,Own,0.848283212,29,133,126,0.511602521
194,A,Neutral,3,0,3,0.50000025,76,153,0,Other,0.870104013,38,166,76,0.490208358
194,A,Neutral,3,0,3,0.50000025,76,153,0,Own,0.860928889,38,166,76,0.416108429
195,A,Controversial,12,7,8,3.142089844,169,150,0,Other,0.827102942,21,58,107,0.357374072
195,A,Controversial,12,7,8,3.142089844,169,150,0,Own,0.838586358,21,58,107,0.39255029
200,A,Controversial,10,5,7,2.513671875,8,50,0,Other,0.860037812,24,135,8,0.484131634
200,A,Controversial,10,5,7,2.513671875,8,50,0,Own,0.842882651,24,135,8,0.360287189
210,A,High Priority,18,21,0,1.05E-05,31,159,1,Other,0.849725796,39,58,76,0.389924377
210,A,High Priority,18,21,0,1.05E-05,31,159,1,Own,0.81088336,39,58,76,0.415495515
217,A,Low Priority,24,4,24,0.002211984,113,159,0,Other,0.78345429,7,200,22,0.181739181
217,A,Low Priority,24,4,24,0.002211984,113,159,0,Own,0.793367922,7,200,22,0.192561761
218,A,Low Priority,21,2,24,0.000131,123,194,0,Other,0.817748546,54,149,196,0.323028803
218,A,Low Priority,21,2,24,0.000131,123,194,0,Own,0.816575643,54,149,196,0.285977185
223,A,Low Priority,4,0,5,0.187500234,98,163,0,Other,0.786668002,11,163,6,0.173300833
223,A,Low Priority,4,0,5,0.187500234,98,163,0,Own,0.801685453,11,163,6,0.219120428
7,B,High Priority,15,14,3,0.093383789,165,98,1,Other,0.938408353,58,196,165,0.672010779
7,B,High Priority,15,14,3,0.093383789,165,98,1,Own,0.869218812,58,196,165,0.545322776
17,B,Controversial,14,11,7,2.30657959,54,76,1,Other,0.963194425,49,77,54,0.852661371
17,B,Controversial,14,11,7,2.30657959,54,76,1,Own,0.857541038,49,77,54,0.429078072
21,B,Low Priority,21,9,21,0.413061725,120,23,0,Other,0.868967935,171,128,64,0.595657587
21,B,Low Priority,21,9,21,0.413061725,120,23,0,Own,0.860809298,171,128,64,0.652360618
22,B,High Priority,21,24,2,0.000131,111,23,1,Other,0.878351882,64,141,155,0.561166823
22,B,High Priority,21,24,2,0.000131,111,23,1,Own,0.854722696,64,141,155,0.487877578
77,B,High Priority,16,17,2,0.006523132,75,18,0,Other,0.885141498,76,17,75,0.459421098
77,B,High Priority,16,17,2,0.006523132,75,18,0,Own,0.842366605,76,17,75,0.429078072
80,B,Neutral,21,9,18,0.977747887,50,114,0,Other,0.819224517,39,8,121,0.37029168
80,B,Neutral,21,9,18,0.977747887,50,114,0,Own,0.796857247,39,8,121,0.344508648
82,B,High Priority,21,23,3,0.001046062,43,215,0,Other,0.818628674,35,105,43,0.322878659
82,B,High Priority,21,23,3,0.001046062,43,215,0,Own,0.795021315,35,105,43,0.30707404
109,B,Controversial,13,7,9,2.967529297,135,160,0,Other,0.860946447,96,21,135,0.476007283
109,B,Controversial,13,7,9,2.967529297,135,160,0,Own,0.852486388,96,21,135,0.580855966
114,B,High Priority,18,18,4,0.040112734,49,28,0,Other,0.887072294,46,8,49,0.601658642
114,B,High Priority,18,18,4,0.040112734,49,28,0,Own,0.846638155,46,8,49,0.408971965
118,B,Controversial,10,7,5,2.513671875,211,7,0,Other,0.849902289,34,136,200,0.347410858
